City,County,OneBedroom
San Jose,Santa Clara,2449.04
San Francisco,San Francisco,3338.33
Oakland,Alameda,2174.38
Fremont,Alameda,2209.25
Santa Rosa,Sonoma,1736.83
Hayward,Alameda,1881.54
Sunnyvale,Santa Clara,2639.63
Concord,Contra Costa,1704.79
Vallejo,Solano,1467.79
Santa Clara,Santa Clara,2448.67
Berkeley,Alameda,2589.38
Fairfield,Solano,1671.21
San Mateo,San Mateo,2574.5
San Leandro,Alameda,1707.33
Redwood City,San Mateo,3129.92
Mountain View,Santa Clara,2887.13
San Ramon,Contra Costa,1989.38
Pleasanton,Alameda,2203.58
San Rafael,Marin,2365.33
Palo Alto,Santa Clara,2605
Alameda,Alameda,1917.5
Menlo Park,San Mateo,2963.5
Dublin,Alameda,2454.83
Foster City,San Mateo,2860.42
Burlingame,San Mateo,2452.17
Emeryville,Alameda,2671.29
