City,County,TwoBedroom
San Jose,Santa Clara,1433.77
San Francisco,San Francisco,2225.21
Oakland,Alameda,1390.38
Fremont,Alameda,1296.85
Santa Rosa,Sonoma,1071.9
Hayward,Alameda,1070.31
Sunnyvale,Santa Clara,1564.13
Concord,Contra Costa,980.63
Vallejo,Solano,855.33
Santa Clara,Santa Clara,1445.13
Berkeley,Alameda,1618.75
Vacaville,Solano,880.9
Fairfield,Solano,891.33
San Mateo,San Mateo,1623.25
Daly City,San Mateo,1493.02
San Leandro,Alameda,1089.83
Napa,Napa,1159.25
Antioch,Contra Costa,830.83
Richmond,Contra Costa,1170.52
Redwood City,San Mateo,1912.71
Walnut Creek,Contra Costa,1319.17
Mountain View,Santa Clara,1733.29
Pittsburg,Contra Costa,888.6
San Ramon,Contra Costa,1262.19
Petaluma,Sonoma,1174.69
Pleasanton,Alameda,1315.13
San Rafael,Marin,1456.29
Palo Alto,Santa Clara,1873.48
Milpitas,Santa Clara,1425.4
Union City,Alameda,1173.13
Alameda,Alameda,1240.29
Cupertino,Santa Clara,1669.77
San Pablo,Contra Costa,1186.17
Castro Valley,Alameda,1109.85
Campbell,Santa Clara,1295.5
Newark,Alameda,1332.69
Menlo Park,San Mateo,1943.25
Dublin,Alameda,1452.98
Pleasant Hill,Contra Costa,1197.17
Los Gatos,Santa Clara,1688.58
Foster City,San Mateo,1760.63
Burlingame,San Mateo,1792.1
Emeryville,Alameda,1751.83
